Price,Close,High,Low,Open,Volume
Ticker,NBR,NBR,NBR,NBR,NBR
Date,,,,,
2021-01-04,60.619998931884766,61.70000076293945,58.16999816894531,58.36000061035156,233300
2021-01-05,68.94999694824219,69.69000244140625,61.40999984741211,61.40999984741211,399700
2021-01-06,67.5,71.6500015258789,67.0199966430664,68.51000213623047,361700
2021-01-07,68.08000183105469,71.25,67.30999755859375,69.83000183105469,218300
2021-01-08,68.27999877929688,70.19000244140625,66.69999694824219,70.06999969482422,207100
2021-01-11,66.52999877929688,68.66999816894531,65.08000183105469,66.44999694824219,227000
2021-01-12,67.02999877929688,72.55999755859375,66.36000061035156,68.5,462800
2021-01-13,65.16000366210938,68.1500015258789,63.310001373291016,68.1500015258789,403300
2021-01-14,67.94999694824219,69.27999877929688,65.0199966430664,65.87999725341797,391100
2021-01-15,65.13999938964844,66.48999786376953,64.41999816894531,65.63999938964844,343900
2021-01-19,65.8499984741211,68.0,65.0,66.51000213623047,319300
2021-01-20,65.19000244140625,66.94000244140625,64.1500015258789,66.44999694824219,220400
2021-01-21,60.38999938964844,64.52999877929688,59.529998779296875,64.38999938964844,361000
2021-01-22,60.86000061035156,60.900001525878906,57.709999084472656,57.790000915527344,242800
2021-01-25,59.099998474121094,60.040000915527344,56.75,59.599998474121094,202500
2021-01-26,57.34000015258789,61.15999984741211,57.27000045776367,60.349998474121094,156300
2021-01-27,62.83000183105469,65.83999633789062,55.0099983215332,56.369998931884766,394800
2021-01-28,64.45999908447266,65.23999786376953,61.7400016784668,63.029998779296875,259100
2021-01-29,71.41999816894531,71.51000213623047,63.7400016784668,64.45999908447266,672400
2021-02-01,74.18000030517578,74.41999816894531,67.37000274658203,71.51000213623047,399000
2021-02-02,71.88999938964844,77.26000213623047,71.12999725341797,76.0,261400
2021-02-03,74.80999755859375,75.0,71.6500015258789,72.37000274658203,209900
2021-02-04,75.55999755859375,76.19000244140625,73.25,75.6500015258789,195500
2021-02-05,78.12000274658203,79.0,74.01000213623047,76.2300033569336,302400
2021-02-08,88.38999938964844,88.66000366210938,78.80999755859375,79.2300033569336,379600
2021-02-09,80.25,88.5,79.18000030517578,87.08999633789062,314700
2021-02-10,85.20999908447266,85.77999877929688,79.47000122070312,81.77999877929688,201400
2021-02-11,81.43000030517578,86.41000366210938,79.88999938964844,84.33000183105469,189900
2021-02-12,85.31999969482422,86.55999755859375,79.87999725341797,80.19000244140625,177800
2021-02-16,88.5,91.05000305175781,86.98999786376953,87.5,211000
2021-02-17,87.44999694824219,91.88999938964844,85.62999725341797,88.16000366210938,256500
2021-02-18,83.56999969482422,87.19999694824219,80.5,86.41999816894531,215800
2021-02-19,87.47000122070312,89.0,82.8499984741211,84.0,143400
2021-02-22,89.31999969482422,92.0199966430664,87.23999786376953,87.23999786376953,181400
2021-02-23,88.08999633789062,91.62000274658203,79.2699966430664,89.98999786376953,191600
2021-02-24,105.4800033569336,105.94000244140625,89.43000030517578,89.69999694824219,447000
2021-02-25,106.91000366210938,110.0,104.44999694824219,106.36000061035156,256700
2021-02-26,111.01000213623047,112.41999816894531,95.58999633789062,104.88999938964844,308500
2021-03-01,117.86000061035156,118.7300033569336,113.54000091552734,115.55999755859375,201200
2021-03-02,105.05999755859375,119.95999908447266,104.80000305175781,117.27999877929688,226600
2021-03-03,109.1500015258789,113.44000244140625,106.12000274658203,106.12000274658203,180600
2021-03-04,114.23999786376953,115.25,107.2699966430664,109.72000122070312,183900
2021-03-05,126.75,127.45999908447266,115.33999633789062,118.69999694824219,268100
2021-03-08,130.49000549316406,133.61000061035156,124.08999633789062,130.0,238000
2021-03-09,122.01000213623047,131.27999877929688,118.88999938964844,130.47999572753906,184500
2021-03-10,130.42999267578125,131.9499969482422,122.12999725341797,122.27999877929688,160100
2021-03-11,129.38999938964844,132.44000244140625,125.5,130.50999450683594,158800
2021-03-12,129.8699951171875,131.99000549316406,127.16999816894531,129.38999938964844,151000
2021-03-15,129.92999267578125,131.3300018310547,127.73999786376953,130.47000122070312,130800
2021-03-16,122.41999816894531,128.99000549316406,121.0,128.1999969482422,137300
2021-03-17,124.0,125.45999908447266,120.05000305175781,121.0999984741211,98000
2021-03-18,109.16000366210938,123.5999984741211,107.63999938964844,122.4000015258789,192100
2021-03-19,107.7699966430664,111.23999786376953,103.7699966430664,108.62999725341797,302100
2021-03-22,102.62999725341797,109.0,102.62000274658203,108.91999816894531,118300
2021-03-23,91.13999938964844,99.33999633789062,89.7300033569336,98.80000305175781,239400
2021-03-24,90.5199966430664,98.29000091552734,90.22000122070312,95.80000305175781,161700
2021-03-25,96.51000213623047,96.80999755859375,85.19999694824219,87.08999633789062,213700
2021-03-26,99.05000305175781,102.44999694824219,94.45999908447266,100.94000244140625,168400
2021-03-29,91.5199966430664,99.0,91.30999755859375,96.37999725341797,132600
2021-03-30,92.5,93.44999694824219,89.01000213623047,90.58000183105469,103000
2021-03-31,93.44999694824219,94.69999694824219,90.33000183105469,92.58999633789062,133600
2021-04-01,98.79000091552734,98.80999755859375,92.55000305175781,95.0,125000
2021-04-05,90.5999984741211,98.48999786376953,89.68000030517578,98.48999786376953,125100
2021-04-06,92.06999969482422,98.7699966430664,91.06999969482422,91.06999969482422,141000
2021-04-07,95.51000213623047,96.2699966430664,90.06999969482422,92.86000061035156,150200
