Price,Close,High,Low,Open,Volume
Ticker,BABA,BABA,BABA,BABA,BABA
Date,,,,,
2021-01-04,214.41880798339844,216.79966954988805,211.77443851848142,213.14838142324015,24897900
2021-01-05,226.22900390625,226.56778336362615,214.67288093477217,215.54806718271087,35823800
2021-01-06,214.1929473876953,224.25280031316615,212.5461056104302,221.10026888153033,37146100
2021-01-07,213.52479553222656,216.39500838157713,207.11623063408436,215.79273538690364,49361800
2021-01-08,222.26718139648438,224.5351212567464,213.32059215564828,214.44703780163212,34884900
2021-01-11,213.9670867919922,217.21842466650264,212.54610278953805,216.34794829535124,23036900
2021-01-12,212.30142211914062,216.20678374224767,211.86853170736669,214.92224207753603,18969900
2021-01-13,221.4296417236328,226.31370617854307,212.9507500599981,216.38560007724348,38805100
2021-01-14,228.6569061279297,231.21656978224786,227.23592218573538,230.84955992383635,31381600
2021-01-15,229.10862731933594,232.43054119619762,227.87583659361295,231.73415723960454,21561600
2021-01-19,236.81582641601562,237.97333118570737,232.4305332247299,235.26309572793915,23681900
2021-01-20,249.83999633789062,253.14309950278036,247.2144807788332,251.73152088101764,44640800
2021-01-21,244.6736297607422,249.00247664639116,242.69741393048494,248.56018085923188,20709900
2021-01-22,243.37498474121094,244.98417642068128,240.4389056352853,241.66226235654025,13518200
2021-01-25,245.9722900390625,249.56711723299935,242.65037609247722,248.08023830335833,19478600
2021-01-26,250.2446746826172,250.31994624077325,245.72760578994493,248.24961940846833,14681200
2021-01-27,244.9088897705078,250.24466957289127,244.6265855348856,249.50123012756552,16050400
2021-01-28,245.38882446289062,246.15107458283725,242.1609930172045,243.892554645268,10244900
2021-01-29,238.86734008789062,243.6384684422999,237.42753101838744,240.93765256252811,14693000
2021-02-01,249.087158203125,249.37888214512435,240.15187039822825,243.544345867858,15289300
2021-02-02,239.4978485107422,249.37889923515397,239.0649580656668,248.97425357415204,30534300
2021-02-03,247.90142822265625,252.46553813184906,245.8499408716839,249.09658315725414,29179700
2021-02-04,251.2233428955078,254.0747305441037,249.9040085559015,253.6888956104378,16763000
2021-02-05,250.00938415527344,250.74340382101536,247.69437475523995,249.01184226828468,11018700
2021-02-08,247.11094665527344,249.3788863890484,246.38634664485346,249.3600756797295,10721100
2021-02-09,250.78106689453125,251.44923483459044,247.06392681949987,247.49680292026977,12432800
2021-02-10,252.0044708251953,254.46060419983422,249.0025108882068,252.86083209335814,13090800
2021-02-11,253.0772247314453,258.09305029797133,251.44922239702856,252.90784218543223,15295800
2021-02-12,252.0609130859375,254.31943329935402,250.01881656348277,253.22780897383015,9355100
2021-02-16,254.7428741455078,258.1212485232181,254.46054121873078,255.0251783536472,16708700
2021-02-17,254.865234375,256.26365997783927,252.02326618114924,254.92172394580513,13262400
